	DO-01_S234	DO-101_S223	DO-102_S255	DO-105_S217	DO-107_S233	DO-10_S245	DO-110_S207	DO-113_S242	DO-114_S208	DO-115_S209	DO-116_S206	DO-11_S254	DO-12_S204	DO-13_S253	DO-14_S213	DO-152_S231	DO-152-star_S236	DO-153_S233	DO-154_S211	DO-154_S218	DO-156_S235	DO-157_S216	DO-158_S230	DO-159_S221	DO-15_S214	DO-15_S251	DO-161_S243	DO-162_S219	DO-16_S215	DO-17_S203	DO-18_S235	DO-19_S249	DO-200_S225	DO-202_S224	DO-203_S195	DO-206_S194	DO-209_S192	DO-20_S202	DO-211_S193	DO-21_S200	DO-23_S246	DO-28_S227	DO-2_S252	DO-30_S197	DO-31_S198	DO-35_S209	DO-35_S229	DO-37_S236	DO-39_S205	DO-3_S201	DO-44_S232	DO-46_S234	DO-47_S218	DO-48_S237	DO-49_S239	DO-50_S213	DO-51_S238	DO-53_S230	DO-54_S232	DO-55_S205	DO-55_S244	DO-58_S196	DO-59_S229	DO-5_S241	DO-60_S228	DO-61_S226	DO-63_S231	DO-68_S219	DO-69_S226	DO-6_S250	DO-70_S210	DO-71_S220	DO-72_S211	DO-73_S199	DO-74_S217	DO-77_S220	DO-78_S208	DO-79_S228	DO-7_S222	DO-81_S227	DO-83_S248	DO-84_S221	DO-85_S225	DO-86_S216	DO-87_S224	DO-88_S212	DO-8_S247	DO-93_S223	DO-98_S210	DO-98_S215	DO-99_S240	DO-a_S214	DO-ne-35_S212	DO-ne-45_S206	DO-np-35_S222	DO-np-45_S207	ASV
ASV_20	46	0	0	0	0	4	0	0	12	0	0	0	4	8	117	25	0	0	0	0	0	2	0	0	186	0	0	0	156	0	193	0	35	31	59	5	0	22	0	59	0	139	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	136	199	0	0	0	0	0	0	0	17	145	2	0	0	3	13	0	0	0	0	285	0	0	0	0	0	0	0	0	ASV_20
ASV_21	177	0	0	0	0	9	0	0	0	0	0	3	0	9	0	93	131	1	0	3	0	0	0	0	2	0	0	0	0	0	138	0	3	0	0	0	0	19	0	201	0	9	0	0	0	0	0	40	2	78	0	34	0	0	0	0	0	0	29	0	0	9	154	0	0	0	0	0	99	0	0	0	0	0	0	0	0	21	0	0	0	0	445	0	0	0	0	149	0	0	0	0	0	0	0	0	ASV_21
ASV_22	225	0	0	0	0	44	0	0	0	0	2	2	48	20	2	133	0	0	0	0	15	0	0	0	5	0	0	0	31	0	159	0	0	8	29	16	0	0	3	283	0	116	0	9	0	4	15	3	0	56	2	3	0	0	0	0	0	0	3	0	1	0	3	0	0	0	0	0	218	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	13	287	0	0	0	0	0	0	0	0	ASV_22
ASV_23	197	0	1	12	0	0	0	19	0	0	0	7	9	0	0	0	38	0	0	0	0	0	0	0	0	24	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	537	0	0	84	0	0	0	72	19	16	0	0	0	0	4	0	1	0	0	0	61	139	0	0	0	0	0	57	2	0	0	0	0	0	0	0	295	0	0	0	0	117	0	0	1	0	0	0	0	0	0	0	0	0	0	ASV_23
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	4	0	0	247	0	0	0	354	0	0	0	96	87	252	133	40	0	33	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	3	0	3	0	0	12	0	0	127	0	0	0	0	0	0	0	0	ASV_24
ASV_25	280	0	0	0	0	9	0	0	3	0	0	8	4	20	12	0	0	0	0	0	0	0	0	0	5	0	0	3	7	0	190	0	6	5	1	0	0	1	0	242	0	330	0	0	0	16	0	0	2	265	0	0	0	0	0	0	0	2	15	0	0	2	4	0	4	0	0	0	160	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	47	0	0	8	0	0	0	0	0	ASV_25
ASV_26	113	0	0	0	0	0	0	26	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	20	0	347	0	0	25	0	0	0	20	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	643	0	0	20	0	229	0	0	4	2	129	0	0	0	0	0	0	0	0	ASV_26
ASV_27	0	0	0	0	0	34	0	11	0	46	19	8	18	0	0	83	129	6	0	0	5	0	384	0	0	0	1	1	0	0	50	0	0	0	7	0	0	0	0	10	0	72	0	0	62	0	0	23	0	38	56	58	0	0	0	0	0	0	10	0	0	71	42	3	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	2	0	0	6	4	0	0	0	0	ASV_27
ASV_28	0	0	0	0	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	39	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	166	0	146	0	0	0	0	0	0	5	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	ASV_28
ASV_29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1494	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	ASV_29
