	DO-101_GC04_136	DO-102_GC06_111	DO-10_GC06_81	DO-110_GC06_156	DO-113_GC04_156	DO-114_GC06_166	DO-115_GC06_171	DO-116_GC06_146	DO-11_GC06_71	DO-12_GC06_121	DO-13_GC06_41	DO-153_GC02_63.5	DO-156_GC02_90.5	DO-159_GC04_206	DO-161_GC04_171	DO-162_GC04_191	DO-17_GC06_186	DO-19_GC06_176	DO-200_MC01_23	DO-202_MC01_18	DO-203_MC01_12	DO-206_MC01_8	DO-209_MC01_2	DO-20_GC06_101	DO-211_MC01_4	DO-21_GC06_51	DO-23_GC06_91	DO-2_GC06_21	DO-30_GC02_114.5	DO-31_GC04_201	DO-37_GC02_99.5	DO-39_GC06_131	DO-3_GC06_61	DO-46_GC02_84.5	DO-48_GC02_105.5	DO-49_GC02_126.5	DO-50_GC04_86	DO-51_GC02_111.5	DO-53_GC02_45.5	DO-54_GC02_57.5	DO-58_GC02_72.5	DO-5_GC06_31	DO-60_GC02_81.5	DO-61_GC02_18.5	DO-63_GC02_51.5	DO-6_GC06_181	DO-70_GC02_6.5	DO-72_GC02_39.5	DO-73_GC04_186	DO-74_GC04_166	DO-77_GC04_196	DO-7_GC06_16	DO-81_GC02_21.5	DO-83_GC06_161	DO-86_GC04_146	DO-88_GC04_71	DO-8_GC06_141	DO-99_GC04_106	DO-a_GC04_96	DO-01_GC06_126	DO-105_GC04_26	DO-107_GC02_15.5	DO-14_MC01_27	DO-152_GC02_60.5	DO-152_GC02_93.5	DO-154_GC04_176	DO-157_GC04_16	DO-158_GC02_117.5	DO-15_MC01_31	DO-16_MC01_36	DO-18_GC06_56	DO-28_GC04_76	DO-35_GC02_36.5	DO-44_GC02_96.5	DO-47_GC04_41	DO-55_GC06_11	DO-59_GC02_87.5	DO-68_GC04_51	DO-69_GC04_46	DO-71_GC04_61	DO-78_GC02_9.5	DO-79_GC04_66	DO-84_GC04_11	DO-85_GC04_126	DO-87_GC02_12.5	DO-93_GC04_31	DO-98_GC04_116
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71577901728365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.26309479801634	0	0	0	0	0	1.75314610245825	0	0	0	0	0	0	0	0	0	3.94676218749572	0	0	0	0
ASV_30	0	0	0	5.65511720305545	3.47164187099685	0	0	0	5.59265461747769	0	0	0.93993028577502	6.52384175675083	5.11693602826136	0	1.00567462933022	0	0	0	0	0	0	5.29992602506185	0	0	0	5.30461056037967	5.69494022800239	6.50460426672687	0	4.70277528605104	6.03440908500683	0.424429825369725	0	4.00258897497221	0	5.07401597380246	0	3.43788118373093	0	0	0	0	0	0	1.52629728699839	0	0	0	0	1.35347634826813	0	3.5037960981519	0	3.02524463564767	0	0	3.42804153901564	7.15454298785149	0	0	0	0	4.62640291131428	0	2.78494382933002	0	2.88765452637262	0	0	0	0	4.80358598155906	4.73070403827354	0	0	0	0	0	3.20466529642227	2.97592034779873	0	5.74575394021138	2.82854171361081	0	0	0
ASV_31	5.51956141187582	0.986747864820903	0	0	0	2.41108543264707	0	0	0	0	0	1.93593204286057	1.82756355333267	1.16913198920001	1.19133815269892	4.16879756139472	0	0	0	0	3.52690710350274	0	0	0	0	0	0	0	4.40153901351061	0	0	0	0	0	0	0	2.00699269438873	0	2.89795617374683	0	0	0	4.0891489834532	2.57578514243465	0	2.74564508247517	5.29535110542377	0	0	0	0	4.20965872582775	5.67266843529438	0	0	0	0	3.31852958668637	5.50077015120919	0	0	2.4043751951502	0	3.39161618620987	0	0	0	3.10975078238531	0	0	0	0	2.95701695911084	0	0	0	0	2.81750654174592	0	0	0	0	5.03683670978837	0	0	3.28500389513887	0
ASV_32	3.39140705512308	0	0	0	0	0	0	0	0	0	0	0	0	3.62297520716601	3.59187379345248	0	0	0	0	0	5.29491084800693	0	0	0	0	1.83329351011563	2.6918890431648	0	4.09504964961872	0	0	1.95068606123996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70129656368551	0	0	0	0	0	0	0	4.72437887803259	0	0	4.69901060614748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00425894261883	0	0	0	0	0	0	0	0	0	2.28150108667055	0	0	0	1.82756355333267
ASV_35	0	0	0	0	5.79468020300799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9393749158143	3.89663270934631	0	0	0	0	0	0	0	0	0	0	3.43589520845597	0	0	4.86724938485665	0	2.737199601041	3.58775011350244	3.24841364516401	3.724563621097	0	0	0	0	0	4.38881268290172	0	0	0	0	0	0.831872531324488	4.98692063860294	0	4.46286102191929	0	0	6.39838609053606	0	0	0	0	0	0	0
ASV_36	5.8699864845841	0	2.65158686570034	0	0	0	0	0	0	0	0	0	5.14559701023174	0	0	1.00567462933022	0	2.92202828006506	0	0	0	0	0	0	0	0	0	0	5.44648861220335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99210808265331	8.30176192388781	0	0	0	0	2.4043751951502	2.93443369183036	2.4043751951502	1.92153517229542	0	0	0	0	0	3.87344748674375	0	0	0	0	4.08072034198003	0	0	0	0	0	0	2.00176645401308	0	4.13648455689761	1.82756355333267	0	0	0	0	0	0	5.08989646852857	0	0	0	0	0	6.73027039114756
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	6.03292303203732	7.08127390525092	0	0	0	0	0	0	0	0	7.32643202391088	0	0	0	7.16535264875157	0	0	0	4.80227166792008	6.36193617131296	5.93678082704365	4.41249617534579	0	5.46987204301738	0	0	0	2.56910788582105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79574834300584	0	0	2.4043751951502	0	7.28782256409921	0	0	0	0	0	5.75340599919585	0	0	0	0
ASV_38	0	0	0	0	0	0	0	4.66150241813113	0	0	0	0	0	0	0	0	0	0	0	3.71577901728365	0	0	0	0	0	0	0	0	4.2393540305843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74564508247517	0	0	0	0	0	0	0	0	0	0	0	0	0	4.85003975220422	0	2.4043751951502	8.8099720222448	0	0	0	0	0	3.08332167233359	0	0	0	0	0	2.98837160144994	0	0	0	0	0	0	0	0	0	0	0	3.99412374416944
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90758551970848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.132859763785	0	0	0	0	0	0	0	0	0	0	0	4.72437887803259	0	0	3.49668798098161	0	0	0	0	0	0	0	0	0	6.02877254469601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	0	0	3.65036557520098	0	0	2.82540181181383	0	0	0	0	3.29233151341157	0	0	0	3.18629494265354	0	0	0	0	0	4.513756121388	0	0	0	0	0	0	0	2.4340283561327	4.35903958627065	0	0	0	0	3.41810506759174	0	0	0	2.32705054332044	0	0	0	0	0	0	0	3.80174403390148	0	0	0	1.35347634826813	0	0	0	0	0	0	5.08632309352509	0	0	0	0	0	1.24977439019161	0	0	0	0	0	0	0	0	5.10387760221335	0	0	0	0	2.52102205565855	0	0	0	0	3.65153245616336	0	0	0	3.63182878466386
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48696509873137	6.06747994593241	4.32071532403332	0	0	0	0	0	0	2.97955519051366	0	0	0	4.69010701433542	0	4.49076277989306	0	1.89895006104013	3.8222665974858	2.737199601041	0	0	0	0	0	0	0	0	3.01502499616708	5.08869803416623	0	0	8.04458295213354	0	2.69475289168368	0	0	0	0	0	0	6.72394332546008	0	0	3.22045749235195	0	0	0	2.4043751951502	0	5.36706608046998	0	0	0	5.65847290501773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60090260256911	0	0	0	0
ASV_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.10236062305584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.10830854059721	0	0	0	0	0	0	2.61083506759713	0	0	2.8261159400163	0	4.96547603163712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	5.96761787159688	4.14978089197813	1.65402480717973	0	0	2.82540181181383	0	0	0	0	3.29233151341157	0	0	0	0	1.00567462933022	2.5414831415233	2.33807728186309	1.40726767429296	0	0	0	1.56775391257963	0	4.55372012253423	3.6375709897425	1.69425996016261	0	3.80152120118511	0	0	0.373622774338991	0	0	4.68030177876481	0	0	0	4.0579724807417	0	0	0	0	0	4.3284726809697	0	0	0	0	2.4043751951502	0	2.4043751951502	0	0	1.0308813259631	0	0	0	0	0	0	0	0	2.246548458012	0	0	0	0	0	0	2.99985051351129	0	1.37599757850713	0	0	4.86148016468181	0	0	0	0	0	0	4.4395140752952	0	0	0	0
ASV_44	0.982685079656024	0	0	0	0	0	0	0	0	0	0	0	0	6.37193602906643	0	0	0	0	0	0	0	0	6.33535034731611	0	0	0.837585471424099	5.68980968834195	0	0	0	3.89586228486284	5.53200632013532	0	0	5.9529692975363	0	0	0	2.89795617374683	0	0	0	0	0	5.26491394042611	0	0	0	0	0	0	2.98837160144994	0	0	0	0	0	0	2.737199601041	0	0	0	0	0	0	0	0	0	0	2.64594011976494	0	0	2.6355826385047	0	0	9.05080554464135	0	0	0	0	0	0	0	0	0	0	0
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23906396993257	0	0	0	0	0	0	0	6.64145369321404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
