	domain	phylum	class	order	family	genus	species	ASV
ASV_2234	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	ASV_2234
ASV_2235	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_2235
ASV_2236	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_2236
ASV_2237	Bacteria	Myxococcota	bacteriap25	bacteriap25	bacteriap25	bacteriap25	bacteriap25	ASV_2237
ASV_2238	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17	Subgroup 17	Subgroup 17	Subgroup 17	ASV_2238
ASV_2239	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	ASV_2239
ASV_2240	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobiaceae	Lentimicrobiaceae	ASV_2240
ASV_2241	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured	uncultured	ASV_2241
ASV_2242	Bacteria	Proteobacteria	Gammaproteobacteria	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78	ASV_2242
ASV_2243	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae_1	Tenacibaculum_2	Tenacibaculum_2	ASV_2243
ASV_2244	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_2244
ASV_2245	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 9	Subgroup 9	Subgroup 9	Subgroup 9	ASV_2245
ASV_2246	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured	ASV_2246
ASV_2247	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	ASV_2247
ASV_2248	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	SM23-31	SM23-31	ASV_2248
ASV_2249	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_2249
ASV_2251	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_2251
ASV_2252	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_2252
ASV_2253	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus	ASV_2253
ASV_2254	Bacteria	Actinobacteriota	Acidimicrobiia	unclassified_Acidimicrobiia	unclassified_Acidimicrobiia	unclassified_Acidimicrobiia	unclassified_Acidimicrobiia	ASV_2254
ASV_2257	Bacteria	Desulfobacterota_1	Desulfobacteria_2	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	Desulfatiglans	ASV_2257
ASV_2258	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_2258
ASV_2259	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_2259
ASV_2260	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_2260
ASV_2262	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales	Babeliales	Babeliales	ASV_2262
ASV_2263	Archaea	Halobacterota	Halobacteria	Halobacterales	Haloferacaceae_1	unclassified_Haloferacaceae_1	unclassified_Haloferacaceae_1	ASV_2263
ASV_2264	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_2264
ASV_2265	Archaea	Thermoplasmatota	Thermoplasmata	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	ASV_2265
ASV_2266	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_2266
