	domain	phylum	class	order	family	genus	species	ASV
ASV_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	ASV_5
ASV_6	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_6
ASV_7	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae_1	Prauserella_1	Prauserella_1	ASV_7
ASV_8	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_8
ASV_9	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_9
ASV_10	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_10
ASV_11	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_11
ASV_13	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_13
ASV_14	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_14
ASV_15	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_15
ASV_16	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	uncultured	uncultured	ASV_16
ASV_17	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_17
ASV_18	Bacteria	Firmicutes	Bacilli	Bacillales_14	Marinococcaceae	unclassified_Marinococcaceae	unclassified_Marinococcaceae	ASV_18
ASV_20	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_20
ASV_21	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_21
ASV_22	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	ASV_22
ASV_23	Bacteria	Chloroflexi	Dehalococcoidia	DscP2	DscP2	DscP2	DscP2	ASV_23
ASV_24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	uncultured	uncultured	ASV_24
ASV_25	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_25
ASV_26	Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	ASV_26
ASV_27	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_27
ASV_28	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_28
ASV_29	Bacteria	TA06	TA06	TA06	TA06	TA06	TA06	ASV_29
ASV_30	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_30
ASV_31	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_31
ASV_32	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_32
ASV_35	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_35
ASV_36	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_36
ASV_37	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured	ASV_37
ASV_38	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast	ASV_38
ASV_39	Archaea	Thermoplasmatota	Thermoplasmata	uncultured	uncultured	uncultured	uncultured	ASV_39
ASV_40	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_40
ASV_41	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	ASV_41
ASV_42	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	ASV_42
ASV_43	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_43
ASV_44	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_44
ASV_46	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured	ASV_46
ASV_47	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_47
ASV_48	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_48
ASV_49	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_49
ASV_50	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured	ASV_50
ASV_51	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_51
ASV_53	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_53
ASV_54	Bacteria	Actinobacteriota	Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	ASV_54
ASV_55	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	ASV_55
ASV_56	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_56
ASV_57	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_57
ASV_58	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_58
ASV_59	Bacteria	Firmicutes	Bacilli	Bacillales_14	Marinococcaceae	Alteribacillus_1	Alteribacillus_1	ASV_59
ASV_60	Bacteria	Actinobacteriota	Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	ASV_60
ASV_61	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured	ASV_61
ASV_63	Archaea	Halobacterota	Halobacteria	Halobacterales	unclassified_Halobacterales	unclassified_Halobacterales	unclassified_Halobacterales	ASV_63
ASV_64	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_64
ASV_65	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_65
ASV_68	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_68
ASV_70	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_70
ASV_71	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeia	Heimdallarchaeia	Heimdallarchaeia	Heimdallarchaeia	ASV_71
ASV_72	Archaea	Thermoplasmatota	Thermoplasmata	uncultured	uncultured	uncultured	uncultured	ASV_72
ASV_73	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured	ASV_73
ASV_75	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured	ASV_75
ASV_76	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_76
ASV_77	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_77
ASV_78	Bacteria	Actinobacteriota	Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	ASV_78
ASV_79	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_79
ASV_80	Bacteria	Elusimicrobiota	4-29	4-29	4-29	4-29	4-29	ASV_80
ASV_82	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_82
ASV_83	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_83
ASV_84	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	uncultured	uncultured	ASV_84
ASV_85	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_85
ASV_86	Bacteria	Chloroflexi	Anaerolineae	Thermoflexales	Thermoflexaceae	Thermoflexus	Thermoflexus	ASV_86
ASV_87	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_87
ASV_89	Archaea	Thermoplasmatota	Thermoplasmata	uncultured	uncultured	uncultured	uncultured	ASV_89
ASV_90	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_90
ASV_92	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_92
ASV_93	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_93
ASV_94	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_94
ASV_95	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	unclassified_Pirellulaceae	unclassified_Pirellulaceae	ASV_95
ASV_96	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_96
ASV_98	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_98
ASV_99	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_99
ASV_100	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_100
ASV_101	Bacteria	Chloroflexi	Anaerolineae	MSB-5B2	MSB-5B2	MSB-5B2	MSB-5B2	ASV_101
ASV_102	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_102
ASV_103	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_103
ASV_104	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_104
ASV_105	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_105
ASV_106	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_106
ASV_108	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	ASV_108
ASV_110	Bacteria	Chloroflexi	Dehalococcoidia	GIF3	GIF3	GIF3	GIF3	ASV_110
ASV_111	Bacteria	Desulfobacterota_1	Syntrophobacteria	Syntrophobacterales	uncultured	uncultured	uncultured	ASV_111
ASV_112	Bacteria	Desulfobacterota_1	Desulfobacteria_2	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	Desulfatiglans	ASV_112
ASV_113	Bacteria	Armatimonadota	uncultured	uncultured	uncultured	uncultured	uncultured	ASV_113
ASV_114	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified_Oxalobacteraceae	unclassified_Oxalobacteraceae	ASV_114
ASV_115	Bacteria	Desulfobacterota_1	Desulfobacteria_2	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	Desulfatiglans	ASV_115
ASV_117	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_117
ASV_118	Archaea	Asgardarchaeota	Odinarchaeia	Odinarchaeia	Odinarchaeia	Odinarchaeia	Odinarchaeia	ASV_118
ASV_119	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_119
ASV_120	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeia	Heimdallarchaeia	Heimdallarchaeia	Heimdallarchaeia	ASV_120
ASV_121	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Geothermarchaeaceae	Geothermarchaeaceae	Geothermarchaeaceae	ASV_121
ASV_122	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	ASV_122
ASV_123	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Geothermarchaeaceae	Geothermarchaeaceae	Geothermarchaeaceae	ASV_123
ASV_124	Bacteria	Bdellovibrionota_2	Oligoflexia	Oligoflexales	Oligoflexus	Oligoflexus	Oligoflexus	ASV_124
ASV_125	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_125
ASV_126	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_126
ASV_127	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured	ASV_127
ASV_129	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_129
ASV_130	Bacteria	Verrucomicrobiota	Chlamydiae	LD1-PA32	LD1-PA32	LD1-PA32	LD1-PA32	ASV_130
ASV_131	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_131
ASV_132	Archaea	Thermoplasmatota	Thermoplasmata	uncultured	uncultured	uncultured	uncultured	ASV_132
ASV_133	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_133
ASV_134	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_134
ASV_135	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	Candidatus Omnitrophus	ASV_135
ASV_136	Bacteria	NKB15	NKB15	NKB15	NKB15	NKB15	NKB15	ASV_136
ASV_137	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_137
ASV_138	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_2	Ralstonia	Ralstonia	ASV_138
ASV_139	Bacteria	Bdellovibrionota_2	Oligoflexia	Oligoflexales	Oligoflexus	Oligoflexus	Oligoflexus	ASV_139
ASV_140	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast	ASV_140
ASV_141	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_141
ASV_142	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	unclassified_Comamonadaceae	unclassified_Comamonadaceae	ASV_142
ASV_143	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_143
ASV_144	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	ASV_144
ASV_146	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	SM2D12	ASV_146
ASV_147	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_147
ASV_148	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_148
ASV_149	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	ASV_149
ASV_150	Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	ASV_150
ASV_151	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_151
ASV_152	Bacteria	AncK6	AncK6	AncK6	AncK6	AncK6	AncK6	ASV_152
ASV_153	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_153
ASV_154	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured	ASV_154
ASV_156	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_156
ASV_157	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_157
ASV_158	Bacteria	Chloroflexi	Anaerolineae	MSB-5B2	MSB-5B2	MSB-5B2	MSB-5B2	ASV_158
ASV_159	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_159
ASV_160	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidia	Dehalococcoidia	Dehalococcoidia	Dehalococcoidia	ASV_160
ASV_161	Bacteria	Chloroflexi	Anaerolineae	Thermoflexales	Thermoflexaceae	Thermoflexus	Thermoflexus	ASV_161
ASV_162	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Geothermarchaeaceae	Geothermarchaeaceae	Geothermarchaeaceae	ASV_162
ASV_163	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_163
ASV_164	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter_5	Azotobacter_5	ASV_164
ASV_165	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_165
ASV_166	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_166
ASV_167	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_167
ASV_168	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_168
ASV_169	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_169
ASV_170	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_170
ASV_171	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_171
ASV_173	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_173
ASV_174	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	Reyranella	ASV_174
ASV_175	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_175
ASV_176	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_176
ASV_177	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_177
ASV_178	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	uncultured	uncultured	uncultured	ASV_178
ASV_179	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_179
ASV_180	Bacteria	Actinobacteriota	RBG-16-55-12	RBG-16-55-12	RBG-16-55-12	RBG-16-55-12	RBG-16-55-12	ASV_180
ASV_181	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_181
ASV_182	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_182
ASV_183	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	ASV_183
ASV_184	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc	ASV_184
ASV_185	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_185
ASV_186	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_186
ASV_187	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_187
ASV_188	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	uncultured	uncultured	ASV_188
ASV_189	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	Urania-1B-19 marine sediment group	ASV_189
ASV_190	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_190
ASV_191	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_191
ASV_193	Bacteria	Verrucomicrobiota	Chlamydiae	LD1-PA32	LD1-PA32	LD1-PA32	LD1-PA32	ASV_193
ASV_194	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	uncultured	uncultured	ASV_194
ASV_196	Bacteria	Chloroflexi	Dehalococcoidia	DscP2	DscP2	DscP2	DscP2	ASV_196
ASV_197	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_197
ASV_198	Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	ASV_198
ASV_200	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_200
ASV_201	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_201
ASV_202	Bacteria	Planctomycetota	Planctomycetes	uncultured	uncultured	uncultured	uncultured	ASV_202
ASV_203	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_203
ASV_204	Bacteria	WS1	WS1	WS1	WS1	WS1	WS1	ASV_204
ASV_205	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	Subgroup 10	ASV_205
ASV_206	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_206
ASV_207	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	Woeseia	ASV_207
ASV_208	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium_2	Novosphingobium_2	ASV_208
ASV_209	Archaea	Thermoplasmatota	Thermoplasmata	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	ASV_209
ASV_210	Bacteria	Chloroflexi	Dehalococcoidia	DscP2	DscP2	DscP2	DscP2	ASV_210
ASV_211	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	Schleiferia	Schleiferia	ASV_211
ASV_212	Archaea	Crenarchaeota	Nitrososphaeria	Marine Benthic Group A	Marine Benthic Group A	Marine Benthic Group A	Marine Benthic Group A	ASV_212
ASV_213	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_213
ASV_214	Bacteria	Verrucomicrobiota	Chlamydiae	LD1-PA32	LD1-PA32	LD1-PA32	LD1-PA32	ASV_214
ASV_215	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_215
ASV_216	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	uncultured	uncultured	ASV_216
ASV_217	Bacteria	Armatimonadota	uncultured	uncultured	uncultured	uncultured	uncultured	ASV_217
ASV_218	Bacteria	WS1	WS1	WS1	WS1	WS1	WS1	ASV_218
ASV_219	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_219
ASV_221	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured	ASV_221
ASV_222	Bacteria	Chloroflexi	Anaerolineae	Thermoflexales	Thermoflexaceae	Thermoflexus	Thermoflexus	ASV_222
ASV_224	Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	ASV_224
ASV_226	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_226
ASV_227	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Candidatus Chloroploca	Candidatus Chloroploca	ASV_227
ASV_228	Bacteria	Chloroflexi	Dehalococcoidia	DscP2	DscP2	DscP2	DscP2	ASV_228
ASV_229	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_229
ASV_230	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	ASV_230
ASV_231	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_231
ASV_233	Bacteria	Elusimicrobiota	4-29	4-29	4-29	4-29	4-29	ASV_233
ASV_234	Archaea	Thermoplasmatota	Thermoplasmata	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	ASV_234
ASV_235	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_235
ASV_236	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_236
ASV_237	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	ASV_237
ASV_238	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_238
ASV_239	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564 sediment group	AKAU3564 sediment group	AKAU3564 sediment group	ASV_239
ASV_240	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_240
