Sample_conc_ppb,Sample_conc_ppb_undil,Sample_conc_uM,Concentration_units,Analyte,Station,Core,Real_depth_cm
91.65103556,8.711569649,1.641315107,uM,Iron,CR03,GC04,181
89.13396663,8.534049632,1.596238658,uM,Iron,CR03,GC04,186
53.84096655,4.749544484,0.96420069,uM,Iron,CR03,GC04,201
46.79930601,4.411603122,0.838096454,uM,Iron,CR03,GC04,201
14.1211723,1.329550071,0.252886323,uM,Iron,CR03,GC04,206
441.501525,27.5586168,8.03606707,uM,Manganese,CR03,GC04,11
243.644021,22.8305489,4.43472919,uM,Manganese,CR03,GC04,16
376.252266,35.6537682,6.84842129,uM,Manganese,CR03,GC04,21
155.766184,14.5385995,2.83520539,uM,Manganese,CR03,GC04,31
206.157424,19.6981894,3.75241034,uM,Manganese,CR03,GC04,36
180.599077,17.0996627,3.28720562,uM,Manganese,CR03,GC04,41
196.697738,18.8024541,3.58022821,uM,Manganese,CR03,GC04,46
194.827175,18.3870872,3.54618083,uM,Manganese,CR03,GC04,51
129.214122,12.2479098,2.35191339,uM,Manganese,CR03,GC04,56
236.143511,22.5989934,4.29820733,uM,Manganese,CR03,GC04,61
174.52055,16.5364924,3.17656625,uM,Manganese,CR03,GC04,66
227.933355,21.66264,4.14876874,uM,Manganese,CR03,GC04,71
230.73753,22.007429,4.19980942,uM,Manganese,CR03,GC04,76
224.243454,21.267945,4.08160637,uM,Manganese,CR03,GC04,86
208.695971,20.5975393,3.79861615,uM,Manganese,CR03,GC04,86
238.593559,22.7092428,4.34280231,uM,Manganese,CR03,GC04,91
244.276888,23.0522617,4.44624842,uM,Manganese,CR03,GC04,96
144.575924,13.6279686,2.63152392,uM,Manganese,CR03,GC04,101
205.261115,19.3252146,3.73609601,uM,Manganese,CR03,GC04,106
262.287453,25.9888486,4.77407086,uM,Manganese,CR03,GC04,116
263.950007,25.1678615,4.80433213,uM,Manganese,CR03,GC04,116
251.22229,23.9685175,4.57266636,uM,Manganese,CR03,GC04,121
275.615731,25.7111546,5.01666784,uM,Manganese,CR03,GC04,126
258.083307,24.4593476,4.69754836,uM,Manganese,CR03,GC04,136
262.004627,24.930818,4.76892296,uM,Manganese,CR03,GC04,141
242.15745,22.7199133,4.4076711,uM,Manganese,CR03,GC04,146
257.520947,20.6709751,4.68731247,uM,Manganese,CR03,GC04,156
254.832659,24.2753038,4.63838113,uM,Manganese,CR03,GC04,161
249.485903,23.961928,4.54106122,uM,Manganese,CR03,GC04,166
,24.0060671,,uM,Manganese,CR03,GC04,166
252.999491,23.8396768,4.60501439,uM,Manganese,CR03,GC04,176
203.208842,19.315308,3.6987412,uM,Manganese,CR03,GC04,181
181.255629,17.3541534,3.29915597,uM,Manganese,CR03,GC04,186
219.425454,20.6844524,3.99391071,uM,Manganese,CR03,GC04,201
217.012229,19.1435871,3.94998597,uM,Manganese,CR03,GC04,201
229.466614,21.6049593,4.17667662,uM,Manganese,CR03,GC04,206
34.71312991,3.426697326,0.621653473,uM,Iron,CR04.5,GC06,11
56.54332637,5.387213311,1.012595386,uM,Iron,CR04.5,GC06,16
18.6497824,1.803887135,0.333986075,uM,Iron,CR04.5,GC06,21
25.60144618,2.430358573,0.458478621,uM,Iron,CR04.5,GC06,26
37.09210566,3.649828739,0.664256906,uM,Iron,CR04.5,GC06,31
25.63209929,2.480400789,0.459027566,uM,Iron,CR04.5,GC06,36
47.04713839,4.647899422,0.842534713,uM,Iron,CR04.5,GC06,41
89.08850436,8.441849187,1.595424505,uM,Iron,CR04.5,GC06,41
58.12611216,5.495090444,1.040940404,uM,Iron,CR04.5,GC06,46
75.56834325,7.454436341,1.353301276,uM,Iron,CR04.5,GC06,51
96.48842716,9.150226635,1.727944612,uM,Iron,CR04.5,GC06,56
52.0832559,5.192346652,0.932723064,uM,Iron,CR04.5,GC06,61
65.39260164,6.212154262,1.171070946,uM,Iron,CR04.5,GC06,61
238.6947239,23.31365916,4.274618982,uM,Iron,CR04.5,GC06,71
290.6918328,27.09070151,5.205799298,uM,Iron,CR04.5,GC06,76
261.1140569,25.56341116,4.676111335,uM,Iron,CR04.5,GC06,81
197.934601,18.78929781,3.544674086,uM,Iron,CR04.5,GC06,86
242.3449321,24.071517,4.339988039,uM,Iron,CR04.5,GC06,91
269.3673604,25.62124321,4.823914047,uM,Iron,CR04.5,GC06,96
187.8372628,16.94485703,3.36384783,uM,Iron,CR04.5,GC06,101
221.1943656,19.8674278,3.961217149,uM,Iron,CR04.5,GC06,101
333.4177996,31.1897064,5.970949133,uM,Iron,CR04.5,GC06,106
451.054935,38.66305205,8.077631358,uM,Iron,CR04.5,GC06,111
491.5820232,33.75046714,8.803402994,uM,Iron,CR04.5,GC06,111
499.5864187,32.30926891,8.946748186,uM,Iron,CR04.5,GC06,111
462.9829972,45.18261966,8.291242787,uM,Iron,CR04.5,GC06,116
420.6498028,40.96532332,7.533126841,uM,Iron,CR04.5,GC06,121
336.6276334,31.93168549,6.028431831,uM,Iron,CR04.5,GC06,126
480.8561952,42.54950424,8.611321547,uM,Iron,CR04.5,GC06,131
600.1536295,56.64104219,10.74773692,uM,Iron,CR04.5,GC06,136
622.0434433,34.67665942,11.13974648,uM,Iron,CR04.5,GC06,146
475.3711496,44.98776153,8.513093653,uM,Iron,CR04.5,GC06,151
309.6718553,29.31356223,5.545699415,uM,Iron,CR04.5,GC06,156
201.1124423,19.14336803,3.601583853,uM,Iron,CR04.5,GC06,161
174.2810001,17.13699713,3.121078082,uM,Iron,CR04.5,GC06,161
133.9705416,5.062685424,2.399185917,uM,Iron,CR04.5,GC06,166
48.17884589,4.457845045,0.862801681,uM,Iron,CR04.5,GC06,176
117.2377101,9.807269214,2.099529192,uM,Iron,CR04.5,GC06,181
130.1637352,12.68495632,2.33101245,uM,Iron,CR04.5,GC06,181
76.33836553,7.507431009,1.367091073,uM,Iron,CR04.5,GC06,186
76.3264297,7.50625719,1.366877323,uM,Iron,CR04.5,GC06,186
76.27096547,7.500802608,1.365884052,uM,Iron,CR04.5,GC06,186
149.764826,14.7839947,2.72597062,uM,Manganese,CR04.5,GC06,11
269.880811,25.7131229,4.9122827,uM,Manganese,CR04.5,GC06,16
213.533513,20.6538794,3.88666751,uM,Manganese,CR04.5,GC06,21
238.437489,22.6349946,4.33996158,uM,Manganese,CR04.5,GC06,26
288.370147,28.3753546,5.24881956,uM,Manganese,CR04.5,GC06,31
261.218282,25.2779153,4.75461016,uM,Manganese,CR04.5,GC06,36
313.159166,30.9377437,5.70002123,uM,Manganese,CR04.5,GC06,41
313.173767,29.6066279,5.70028698,uM,Manganese,CR04.5,GC06,46
302.868315,28.7217214,5.51271051,uM,Manganese,CR04.5,GC06,56
300.307282,28.5285356,5.46609541,uM,Manganese,CR04.5,GC06,61
279.895734,27.9037025,5.09457106,uM,Manganese,CR04.5,GC06,61
218.862683,21.376635,3.98366732,uM,Manganese,CR04.5,GC06,71
216.109095,20.1400464,3.93354742,uM,Manganese,CR04.5,GC06,76
268.489353,26.2854624,4.88695583,uM,Manganese,CR04.5,GC06,81
283.593768,26.9206482,5.16188147,uM,Manganese,CR04.5,GC06,86
327.087116,32.4887465,5.95353323,uM,Manganese,CR04.5,GC06,91
304.91912,29.0027973,5.5500386,uM,Manganese,CR04.5,GC06,96
331.831805,26.5380934,6.03989452,uM,Manganese,CR04.5,GC06,101
319.683497,28.8387462,5.81877497,uM,Manganese,CR04.5,GC06,101
320.938516,28.8263346,5.84161842,uM,Manganese,CR04.5,GC06,101
291.106865,27.2317125,5.29863241,uM,Manganese,CR04.5,GC06,106
335.625902,21.7056091,6.10895343,uM,Manganese,CR04.5,GC06,111
313.954184,21.5551015,5.71449189,uM,Manganese,CR04.5,GC06,111
