,Date,Type,runno,Sample_Name,Number,Det.,Ion,Measurement,Core,Depth_cm,Real_depth_cm,Real_conc_ppb,Dilfac,Standard_group,U_spike_mass,Sample_mass,Total_mass,Conc_spike,U238_to_U236_mean,U238_to_U236_stdev,U238_to_U236_sterr,U238_to_U236_stderr,U238_to_U236_stderr_over_mean,Sample_conc_ppb,Sample_conc_ppb_undil,Sample_conc_uM
2315,5142022,Sample,52,114,99397.67266,,Mn55,CPS,GC06,110.0,116.0,,10.24692682,,,,,,,,,,,295.3103554406661,28.819407089380004,5.375142982174483
2301,5142022,Sample,38,49,570697.1529,,Mn55,CPS,GC02,114.0,117.5,,10.10942173,,,,,,,,,,,1687.365145889751,166.9101547997,30.71287123934749
2963,6042022,Sample,33,49,576678.1243,,Mn55,CPS,GC02,114.0,117.5,,10.48121259,,,,,,,,,,,1684.7147133045512,160.7366226797,30.66462892800421
2984,6042022,Sample,57,72,86469.86218,,Mn55,CPS,GC04,115.0,121.0,,10.48134451,,,,,,,,,,,251.22228981687434,23.96851754822,4.572666359972231
2316,5142022,Sample,53,98,89011.05047,,Mn55,CPS,GC06,115.0,121.0,,10.26843605,,,,,,,,,,,264.6805095362921,25.77612678771,4.817628495382092
2470,5202022,Sample,18,80,49003.3093,,Mn55,CPS,GC04,120.0,126.0,,10.71969483,,,,,,,,,,,275.61573125012865,25.711154619699997,5.016667842193823
2964,6042022,Sample,34,104,96844.58941,,Mn55,CPS,GC06,120.0,126.0,,10.54211916,,,,,,,,,,,283.193647470299,26.86306644539,5.154598607031289
2329,5142022,Sample,66,50,605229.8341,,Mn55,CPS,GC02,123.0,126.5,,10.20594423,,,,,,,,,,,1806.740246509199,177.0282303913,32.88569797068073
2303,5142022,Sample,40,120,89461.47646,,Mn55,CPS,GC06,125.0,131.0,,11.30109983,,,,,,,,,,,292.7900426187998,25.908101602780004,5.329269068416451
2522,5202022,Sample,72,65,46636.94436,,Mn55,CPS,GC04,130.0,136.0,,10.55152049,,,,,,,,,,,258.0833070193233,24.459347566439998,4.697548362201006
2954,6042022,Sample,24,122,83263.8748,,Mn55,CPS,GC06,130.0,136.0,,10.59573776,,,,,,,,,,,244.48655180713982,23.074047069200002,4.450064648837638
2299,5142022,Sample,36,106,105663.0845,,Mn55,CPS,GC06,135.0,141.0,,10.84802713,,,,,,,,,,,332.5481457590449,30.6551727585,6.052933122661903
2987,6042022,Sample,60,75,89918.96767,,Mn55,CPS,GC04,135.0,141.0,,10.50926718,,,,,,,,,,,262.00462716703225,24.93081797993,4.768922955351879
2516,5202022,Sample,66,74,43348.78883,,Mn55,CPS,GC04,140.0,146.0,,10.65837916,,,,,,,,,,,242.15745033854748,22.719913291069997,4.407671101902939
2947,6042022,Sample,17,116,89777.39162,,Mn55,CPS,GC06,145.0,151.0,,10.5666771,,,,,,,,,,,263.0185226676759,24.89131826198,4.787377551286419
2500,5202022,Sample,50,110,55559.1178,,Mn55,CPS,GC06,150.0,156.0,,10.56411544,,,,,,,,,,,308.25219761256614,29.179177316199997,5.610706181517403
2523,5202022,Sample,73,56,39475.55978,,Mn55,CPS,GC04,150.0,156.0,,12.4580938,,,,,,,,,,,257.5209470275246,20.67097512362,4.687312468648063
2986,6042022,Sample,59,66,87569.45436,,Mn55,CPS,GC04,155.0,161.0,,10.49760949,,,,,,,,,,,254.83265919121334,24.275303766440004,4.638381128343891
2969,6042022,Sample,39,96,104777.4403,,Mn55,CPS,GC06,155.0,161.0,,10.50559348,,,,,,,,,,,305.46412223949113,29.076331843700004,5.559958540944506
2342,5142022,Sample,79,96,100517.7678,,Mn55,CPS,GC06,155.0,161.0,,10.16986808,,,,,,,,,,,296.4271956473902,29.147594965400003,5.395471344146163
2501,5202022,Sample,51,54,45696.64273,,Mn55,CPS,GC04,160.0,166.0,,10.41176249,,,,,,,,,,,249.48590318189773,23.961928004169998,4.541061215542369
2483,5202022,Sample,31,121,22158.396,,Mn55,CPS,GC06,160.0,166.0,,26.46234763,,,,,,,,,,,304.5867941868641,11.510195483999999,5.543989701253442
2965,6042022,Sample,35,54,86604.44835,,Mn55,CPS,GC04,160.0,166.0,,,,,,,,,,,,,,24.006067089650003,
2325,5142022,Sample,62,115,98281.61354,,Mn55,CPS,GC06,165.0,171.0,,10.23949462,,,,,,,,,,,291.7477946063278,28.492401767220006,5.31029840928882
2493,5202022,Sample,43,57,45465.54396,,Mn55,CPS,GC04,170.0,176.0,,10.61253864,,,,,,,,,,,252.9994907258493,23.83967675484,4.605014392534571
2510,5202022,Sample,60,91,43579.51072,,Mn55,CPS,GC06,170.0,176.0,,10.80765379,,,,,,,,,,,246.86805145010922,22.84196517088,4.493411930289574
2296,5142022,Sample,33,101,91395.19181,,Mn55,CPS,GC06,175.0,181.0,,10.26126791,,,,,,,,,,,271.66378636715865,26.474680200330003,4.944735827578425
2977,6042022,Sample,49,59,69791.6916,,Mn55,CPS,GC04,175.0,181.0,,10.52061101,,,,,,,,,,,203.20884154764246,19.3153079564,3.6987412003575257
2351,5142022,Sample,88,127,90129.37814,,Mn55,CPS,GC06,175.0,181.0,,11.95416456,,,,,,,,,,,312.04908252846974,26.103796795020003,5.679815845075897
2310,5142022,Sample,47,99,109599.6209,,Mn55,CPS,GC06,180.0,186.0,,10.1683739,,,,,,,,,,,323.4415135554673,31.8085779237,5.887177167008869
2294,5142022,Sample,31,99,109518.032,,Mn55,CPS,GC06,180.0,186.0,,10.1683739,,,,,,,,,,,323.19843300816945,31.784672376000003,5.882752693996532
2323,5142022,Sample,60,99,109651.7371,,Mn55,CPS,GC06,180.0,186.0,,10.1683739,,,,,,,,,,,323.59678509876653,31.8238479703,5.890003369107509
2526,5202022,Sample,77,55,33205.57549,,Mn55,CPS,GC04,180.0,186.0,,10.44450999,,,,,,,,,,,181.25562891159916,17.35415343421,3.2991559685402105
2514,5202022,Sample,64,86,39501.03672,,Mn55,CPS,GC04,195.0,201.0,,10.60823123,,,,,,,,,,,219.42545418906118,20.684452424879996,3.993910706025868
2476,5202022,Sample,24,84,36588.24792,,Mn55,CPS,GC04,195.0,201.0,,11.33602743,,,,,,,,,,,217.01222903736797,19.14358714968,3.9499859671890785
2506,5202022,Sample,56,82,41241.12527,,Mn55,CPS,GC04,200.0,206.0,,10.62101579,,,,,,,,,,,229.46661352592923,21.604959267829997,4.176676620420991
