br correction factor,ID,meas_conc,br_corr,real_conc,Concentration_units,Ion,Depth_cm,Station,Core,Real_depth_cm,
1.113012048,72,90.18890412,99.64563505,10.50456351,mM,Calcium,115,CR03,GC04,121,
1.130843373,80,92.51244384,100.5293573,10.51293573,mM,Calcium,120,CR03,GC04,126,
1.102409639,65,91.42711452,102.0295866,10.51795866,mM,Calcium,130,CR03,GC04,136,
1.098795181,75,89.76521716,100.5196037,10.51196037,mM,Calcium,135,CR03,GC04,141,
1.096144578,74,89.44871542,100.4185327,10.51185327,mM,Calcium,140,CR03,GC04,146,
1.086987952,56,88.70389396,100.4601525,10.51101525,mM,Calcium,150,CR03,GC04,156,
1.110843373,66,93.04794878,103.014269,10.5114269,mM,Calcium,155,CR03,GC04,161,
1.065060241,54,908.4364403,94.37296554,10.51729655,mM,Calcium,160,CR03,GC04,166,
1.104337349,57,948.4041447,94.84041447,10.51404145,mM,Calcium,170,CR03,GC04,176,
1.00313253,59,917.027073,101.8073982,10.51073982,mM,Calcium,175,CR03,GC04,181,
0.910361446,55,720.2789695,93.68344637,10.51834464,mM,Calcium,180,CR03,GC04,186,
1.10746988,84,956.3304774,106.8281199,10.52281199,mM,Calcium,195,CR03,GC04,201,
1.071325301,85,999.6969304,106.8547432,10.52547432,mM,Calcium,195,CR03,GC04,201,
1.210120482,86,944.159932,102.990241,10.5190241,mM,Calcium,195,CR03,GC04,201,
0.769879518,87,609.4721162,92.42524601,10.5225246,mM,Calcium,195,CR03,GC04,201,
1.100240964,82,966.3045623,98.12719146,10.52271915,mM,Calcium,200,CR03,GC04,206,
0.965542169,109,111.6115929,115.5947368,10.5481723,mM,Calcium,5,CR4.5,GC06,11,
1.018795181,103,115.6937722,113.5594027,10.55460834,mM,Calcium,10,CR4.5,GC06,16,
0.996626506,126,109.6924088,110.0637081,10.57461033,mM,Calcium,15,CR4.5,GC06,21,
1.040722892,123,114.8691135,110.3743508,10.60594317,mM,Calcium,20,CR4.5,GC06,26,
0.988433735,113,108.9175824,110.1920933,10.63755984,mM,Calcium,25,CR4.5,GC06,31,
0.97253012,89,106.4603492,109.4674056,10.65446454,mM,Calcium,30,CR4.5,GC06,36,
0.961445783,125,106.7750945,111.0568026,10.64477836,mM,Calcium,35,CR4.5,GC06,41,
1.002650602,117,112.5220462,112.2245834,10.66083694,mM,Calcium,40,CR4.5,GC06,46,
1.003373494,107,116.0338795,115.643756,10.65138749,mM,Calcium,45,CR4.5,GC06,51,
0.898795181,97,104.9121823,116.7253502,10.66048201,mM,Calcium,50,CR4.5,GC06,56,
0.999277108,90,115.0176195,115.1008249,10.66662499,mM,Calcium,55,CR4.5,GC06,61,
0.917831325,119,108.0045532,117.6736403,10.67613087,mM,Calcium,65,CR4.5,GC06,71,
0.998795181,111,118.3401613,118.4829118,10.66775768,mM,Calcium,70,CR4.5,GC06,76,
0.983855422,102,115.039613,116.9273559,10.66085722,mM,Calcium,75,CR4.5,GC06,81,
1.025301205,112,121.4034735,118.4076181,10.67016321,mM,Calcium,80,CR4.5,GC06,86,
0.984698795,118,116.5416915,118.3526293,10.67461679,mM,Calcium,85,CR4.5,GC06,91,
0.958313253,108,111.7390376,116.5996998,10.67780834,mM,Calcium,90,CR4.5,GC06,96,
0.982168675,124,114.9019416,116.9879926,10.66697331,mM,Calcium,95,CR4.5,GC06,101,
0.979879518,100,114.3587765,116.7069771,10.67862881,mM,Calcium,100,CR4.5,GC06,106,
0.988433735,92,113.5862256,114.9153672,10.67791888,mM,Calcium,105,CR4.5,GC06,111,
0.973012048,93,113.3388257,116.4824484,10.68598183,mM,Calcium,105,CR4.5,GC06,111,
0.961566265,94,113.1875576,117.7116562,10.68996532,mM,Calcium,105,CR4.5,GC06,111,
0.985783133,95,114.8190965,116.4750063,10.67523118,mM,Calcium,105,CR4.5,GC06,111,
0.917349398,114,106.5441283,116.1434549,10.67178939,mM,Calcium,110,CR4.5,GC06,116,
0.977831325,98,114.622581,117.2212201,10.6804977,mM,Calcium,115,CR4.5,GC06,121,
0.933253012,104,110.489779,118.3920948,10.68859745,mM,Calcium,120,CR4.5,GC06,126,
0.956506024,120,112.4591184,117.5728281,10.67596249,mM,Calcium,125,CR4.5,GC06,131,
0.925542169,122,116.5458611,116.5458611,10.67237792,mM,Calcium,130,CR4.5,GC06,136,
0.974819277,106,116.4606,116.4606,10.6837781,mM,Calcium,135,CR4.5,GC06,141,
0.748192771,105,114.7034563,114.7034563,10.68654459,mM,Calcium,140,CR4.5,GC06,146,
0.934819277,116,114.9480602,114.9480602,10.68121644,mM,Calcium,145,CR4.5,GC06,151,
0.994819277,110,118.0981394,118.7131594,10.68925239,mM,Calcium,150,CR4.5,GC06,156,
0.986385542,96,117.5453288,119.1677329,10.68510274,mM,Calcium,155,CR4.5,GC06,161,
0.985903614,121,116.328875,117.9921377,10.68652685,mM,Calcium,160,CR4.5,GC06,166,
0.98060241,115,114.8901805,117.1628576,10.68288189,mM,Calcium,165,CR4.5,GC06,171,
0.933614458,91,119.8956655,119.8956655,10.68766078,mM,Calcium,170,CR4.5,GC06,176,
0.838674699,101,116.3630274,116.3630274,10.69393648,mM,Calcium,175,CR4.5,GC06,181,
0.99253012,127,117.700301,118.5861251,10.68687141,mM,Calcium,175,CR4.5,GC06,181,
1.007951807,128,117.1554656,116.2312173,10.69064152,mM,Calcium,175,CR4.5,GC06,181,
0.976385542,129,121.3309688,124.2654296,10.68495687,mM,Calcium,175,CR4.5,GC06,181,
0.984216867,99,118.350124,118.350124,10.69263498,mM,Calcium,180,CR4.5,GC06,186,
0,0,0,0,232.6456311,uM,Silica,4,CR01,MC01,4,
0,0,0,0,264.2597087,uM,Silica,8,CR01,MC01,8,
0,0,0,0,269.6601942,uM,Silica,8,CR01,MC01,8,
0,0,0,0,284.7694175,uM,Silica,12,CR01,MC01,12,
0,0,0,0,298.907767,uM,Silica,15,CR01,MC01,15,
0,0,0,0,313.592233,uM,Silica,18.8,CR01,MC01,18.8,
0,0,0,0,319.9635922,uM,Silica,23,CR01,MC01,23,
0,0,0,0,313.592233,uM,Silica,18.8,CR01,MC01,18.8,
0,0,0,0,317.5970874,uM,Silica,27,CR01,MC01,27,
0,0,0,0,319.9635922,uM,Silica,23,CR01,MC01,23,
0,0,0,0,321.0558252,uM,Silica,31,CR01,MC01,31,
0,0,0,0,319.6601942,uM,Silica,35,CR01,MC01,35,
0,0,0,0,326.0315534,uM,Silica,39,CR01,MC01,39,
0,0,0,0,322.6941748,uM,Silica,39,CR01,MC01,39,
0,42,0,0,252.7,uM,Silica,3,CR02,GC02,6.5,
0,43,0,0,370.1,uM,Silica,12,CR02,GC02,15.5,
0,40,0,0,359.9,uM,Silica,15,CR02,GC02,18.5,
0,45,0,0,373.9,uM,Silica,18,CR02,GC02,21.5,
0,39,0,0,369.9,uM,Silica,21,CR02,GC02,24.5,
0,37,0,0,385.1,uM,Silica,27,CR02,GC02,30.5,
0,25,0,0,421.7,uM,Silica,30,CR02,GC02,33.5,
0,32,0,0,401.8,uM,Silica,33,CR02,GC02,36.5,
0,41,0,0,400.7,uM,Silica,36,CR02,GC02,39.5,
0,38,0,0,396,uM,Silica,45,CR02,GC02,48.5,
0,29,0,0,399.6,uM,Silica,51,CR02,GC02,54.5,
0,28,0,0,397.8,uM,Silica,54,CR02,GC02,57.5,
0,20,0,0,403.2,uM,Silica,57,CR02,GC02,60.5,
0,35,0,0,404.1,uM,Silica,60,CR02,GC02,63.5,
0,23,0,0,400.5,uM,Silica,66,CR02,GC02,69.5,
0,19,0,0,394.2,uM,Silica,69,CR02,GC02,72.5,
0,72,0,0,378,uM,Silica,22,CR02,GC02,25.5,
0,a,0,0,265,uM,Silica,5,CR03,GC04,11,
0,b,0,0,281.4,uM,Silica,10,CR03,GC04,16,
0,c,0,0,290.1,uM,Silica,15,CR03,GC04,21,
0,d,0,0,289.9,uM,Silica,20,CR03,GC04,26,
0,e,0,0,297.9,uM,Silica,25,CR03,GC04,31,
0,60,0,0,310.7,uM,Silica,30,CR03,GC04,36,
0,64,0,0,324,uM,Silica,35,CR03,GC04,41,
0,83,0,0,348.4,uM,Silica,40,CR03,GC04,46,
0,73,0,0,352,uM,Silica,45,CR03,GC04,51,
0,62,0,0,359.7,uM,Silica,50,CR03,GC04,56,
0,68,0,0,336.6,uM,Silica,55,CR03,GC04,61,
0,81,0,0,354.6,uM,Silica,60,CR03,GC04,66,
0,78,0,0,348.3,uM,Silica,65,CR03,GC04,71,
0,76,0,0,350.1,uM,Silica,70,CR03,GC04,76,
0,77,0,0,352.8,uM,Silica,80,CR03,GC04,86,
0,109,0,0,298.7,uM,Silica,5,CR04.5,GC06,11,
0,103,0,0,333.3,uM,Silica,10,CR04.5,GC06,16,
0,126,0,0,351.7,uM,Silica,15,CR04.5,GC06,21,
0,123,0,0,370.5,uM,Silica,20,CR04.5,GC06,26,
0,113,0,0,357.2,uM,Silica,25,CR04.5,GC06,31,
0,89,0,0,354.2,uM,Silica,30,CR04.5,GC06,36,
0,117,0,0,370.4,uM,Silica,40,CR04.5,GC06,46,
0,107,0,0,368.3,uM,Silica,45,CR04.5,GC06,51,
0,97,0,0,372.7,uM,Silica,50,CR04.5,GC06,56,
0.779551,2,0.779551,0.807049007,40.70131881,uM,Nitrate,2,SCB01,MC01,2,
0.6775675,3,0.6775675,0.718459074,36.2335268,uM,Nitrate,3,SCB01,MC01,3,
0.630997,4,0.630997,0.675759993,34.08011494,uM,Nitrate,4,SCB01,MC01,4,
0.6343375,5,0.6343375,0.654492722,33.00755801,uM,Nitrate,5,SCB01,MC01,5,
0.3452,6,0.3452,0.355664242,17.93695745,uM,Nitrate,6,SCB01,MC01,6,
0.1121,8,0.1121,0.119157574,6.00938773,uM,Nitrate,8,SCB01,MC01,8,
0.920819277,7,0,0,0,uM,Nitrate,10,SCB01,MC01,10,
0.967228916,9,0,0,0,uM,Nitrate,12,SCB01,MC01,12,
0.951879518,10,0,0,0,uM,Nitrate,15,SCB01,MC01,15,
0.998216867,11,0,0,0,uM,Nitrate,18,SCB01,MC01,18,
0.980192771,12,0,0,0,uM,Nitrate,20,SCB01,MC01,20,
0.917759036,13,0,0,0,uM,Nitrate,23,SCB01,MC01,23,
0.986674699,14,0,0,0,uM,Nitrate,27,SCB01,MC01,27,
0.980746988,15,0,0,0,uM,Nitrate,31,SCB01,MC01,31,
0.964963855,16,0,0,0,uM,Nitrate,36,SCB01,MC01,36,
,CR2-2-55,,,43.08,uM,Nitrate,,CR02,GC02,0.6,BC
,CR2-2-58,,,39.14,uM,Nitrate,,CR02,GC02,1.85,BC
,CR2-2-61,,,43.77,uM,Nitrate,,CR02,GC02,2.85,BC
,CR2-2-48,,,40.42,uM,Nitrate,,CR02,GC02,3.13,BC
,CR2-2-59,,,39.25,uM,Nitrate,,CR02,GC02,4.85,BC
0.748891566,42,2.7736,3.703606938,37.03606938,uM,Nitrate,3,CR02,GC02,6.5,Caltech
,CR2-2-53,,,36.02,uM,Nitrate,,CR02,GC02,11.13,BC
,CR2-2-54,,,32.58,uM,Nitrate,,CR02,GC02,12.03,BC
0.493204819,40,1.2796,2.594459646,25.94459646,uM,Nitrate,15,CR02,GC02,18.5,Caltech
0.960771084,45,1.965,2.045232244,20.45232244,uM,Nitrate,18,CR02,GC02,21.5,Caltech
0.75053012,39,1.4636,1.950088292,19.50088292,uM,Nitrate,21,CR02,GC02,24.5,Caltech
,CR2-2-26,,,21.30772201,uM,Nitrate,,CR02,GC02,26.29,BC
