ID,Compound,Conc_nM,Core,Depth_cm,Real_depth_cm
40,Sulfide,10.89478464,GC02,15,18.5
45,Sulfide,18.43,GC02,18,21.5
39,Sulfide,20.5740224,GC02,21,24.5
33,Sulfide,23.62471661,GC02,24,27.5
37,Sulfide,26.02363409,GC02,27,30.5
25,Sulfide,55.07508915,GC02,30,33.5
32,Sulfide,34.96,GC02,33,36.5
41,Sulfide,10.60508982,GC02,36,39.5
31,Sulfide,12.70581976,GC02,39,42.5
44,Sulfide,18.15387648,GC02,42,45.5
38,Sulfide,13.91253028,GC02,45,48.5
24,Sulfide,3.025869442,GC02,48,51.5
29,Sulfide,7.260830669,GC02,51,54.5
28,Sulfide,16.34011717,GC02,54,57.5
20,Sulfide,32.42008454,GC02,57,60.5
35,Sulfide,56.65832901,GC02,60,63.5
26,Sulfide,78.07224503,GC02,63,66.5
23,Sulfide,72.62076058,GC02,66,69.5
19,Sulfide,54.98,GC02,69,72.5
22,Sulfide,87.26148151,GC02,72,75.5
34,Sulfide,99.85589219,GC02,78,81.5
36,Sulfide,97.26456042,GC02,81,84.5
18,Sulfide,80.80722732,GC02,84,87.5
27,Sulfide,85.30690249,GC02,87,90.5
21,Sulfide,46.05197463,GC02,90,93.5
30,Sulfide,42.49759406,GC02,93,96.5
17,Sulfide,52.04005647,GC02,96,99.5
52,Sulfide,28.47303741,GC02,99,102.5
51,Sulfide,14.84086425,GC02,102,105.5
47,Sulfide,6.051283394,GC02,105,108.5
48,Sulfide,6.657224528,GC02,108,111.5
46,Sulfide,6.656288519,GC02,111,114.5
49,Sulfide,5.25,GC02,114,117.5
50,Sulfide,6.43,GC02,123,126.5
a,Sulfide,11.49725975,GC04,5,11
b,Sulfide,24.20207946,GC04,10,16
c,Sulfide,64.80572945,GC04,15,21
d,Sulfide,119.7439427,GC04,20,26
e,Sulfide,78.03816185,GC04,25,31
60,Sulfide,76.84131066,GC04,30,36
64,Sulfide,81.74712045,GC04,35,41
83,Sulfide,88.95772554,GC04,40,46
73,Sulfide,82.82533504,GC04,45,51
62,Sulfide,58.09341326,GC04,50,56
68,Sulfide,58.6760874,GC04,55,61
81,Sulfide,65.68233337,GC04,60,66
78,Sulfide,73.92109348,GC04,65,71
76,Sulfide,92.58201374,GC04,70,76
77,Sulfide,69.59029549,GC04,80,86
61,Sulfide,77.50120351,GC04,85,91
f,Sulfide,80.41457817,GC04,90,96
53,Sulfide,106.4128306,GC04,95,101
58,Sulfide,99.93923372,GC04,100,106
69,Sulfide,89.57661737,GC04,110,116
72,Sulfide,64.74899419,GC04,115,121
80,Sulfide,56.89014758,GC04,120,126
65,Sulfide,57.84169065,GC04,130,136
75,Sulfide,49.62391711,GC04,135,141
74,Sulfide,36.91154923,GC04,140,146
56,Sulfide,31.79491509,GC04,150,156
66,Sulfide,30.28397924,GC04,155,161
54,Sulfide,25.40920639,GC04,160,166
57,Sulfide,47.81150013,GC04,170,176
59,Sulfide,56.95483648,GC04,175,181
55,Sulfide,75.64085922,GC04,180,186
88,Sulfide,82.95149593,GC04,185,191
63,Sulfide,96.09639858,GC04,190,196
84,Sulfide,115.6409855,GC04,195,201
82,Sulfide,97.43060887,GC04,200,206
109,Sulfide,21.78431198,GC06,5,11
103,Sulfide,45.99197613,GC06,10,16
126,Sulfide,47.86739454,GC06,15,21
123,Sulfide,47.80939891,GC06,20,26
113,Sulfide,56.33593239,GC06,25,31
89,Sulfide,74.20510979,GC06,30,36
125,Sulfide,84.08605779,GC06,35,41
117,Sulfide,52.04629913,GC06,40,46
107,Sulfide,35.71051106,GC06,45,51
97,Sulfide,39.93573346,GC06,50,56
119,Sulfide,38.47203553,GC06,65,71
111,Sulfide,26.02484677,GC06,70,76
102,Sulfide,33.88756616,GC06,75,81
112,Sulfide,55.06616771,GC06,80,86
118,Sulfide,61.18054146,GC06,85,91
108,Sulfide,78.04871336,GC06,90,96
124,Sulfide,82.10214861,GC06,95,101
100,Sulfide,89.04680433,GC06,100,106
92,Sulfide,99.96404835,GC06,105,111
90,Sulfide,94.80906954,GC06,108,114
114,Sulfide,105.4130636,GC06,110,116
98,Sulfide,119.3652254,GC06,115,121
104,Sulfide,114.3596149,GC06,120,126
120,Sulfide,86.65689491,GC06,125,131
122,Sulfide,54.49701739,GC06,130,136
106,Sulfide,60.51204005,GC06,135,141
105,Sulfide,65.28834914,GC06,140,146
116,Sulfide,71.4608506,GC06,145,151
110,Sulfide,88.35685131,GC06,150,156
96,Sulfide,67.17210785,GC06,155,161
121,Sulfide,30.25834194,GC06,160,166
115,Sulfide,37.52156382,GC06,165,171
91,Sulfide,33.89055102,GC06,170,176
128,Sulfide,27.82431455,GC06,175,181
99,Sulfide,29.64552093,GC06,180,186
3,Sulfide,0,MC01,3,3
4,Sulfide,12.09970726,MC01,4,4
5,Sulfide,7.866874271,MC01,5,5
6,Sulfide,8.8492,MC01,6,6
8,Sulfide,10.7659,MC01,8,8
7,Sulfide,12.11242338,MC01,10,10
9,Sulfide,16.94206438,MC01,12,12
11,Sulfide,13.44,MC01,18,18
12,Sulfide,10.28871794,MC01,20,20
13,Sulfide,18.0560166,MC01,23,23
14,Sulfide,10.8928631,MC01,27,27
15,Sulfide,7.86327723,MC01,31,31
16,Sulfide,8.45,MC01,36,36
