Identifier,Peak_Nr,Width,Area_All,Area_44,Ampl_44,Area_45,Ampl_45,Area_46,Ampl_46,d13C,Type,Core,Real_depth_cm,Weigh_EA_mg,Amount_ug,Date,Weigh_sample_before_decarb_mg,Weigh_sample_after_decarb_mg
GluTIS,4,23.2,77.717,76.497,3972,0.894,4641,0.326,5644,-11.905,standard,,,,,20230126,,
GluTIS,1,23,77.895,76.672,3975,0.896,4644,0.327,5647,-12.01,standard,,,,,20230126,,
GluTIS,2,23.2,77.832,76.611,3975,0.895,4645,0.327,5648,-12.04,standard,,,,,20230126,,
GluTIS,3,92,45.75,45.033,1464,0.526,1711,0.191,2060,-11.477,standard,,,,,20230126,,
GluTIS,4,23,77.586,76.368,3976,0.892,4646,0.326,5651,-11.911,standard,,,,,20230126,,
MetA,1,23.2,77.435,76.222,3938,0.889,4593,0.325,5590,-12.077,standard,,,,3.96,20230125,,
MetA,2,23.2,77.355,76.142,3936,0.888,4591,0.324,5585,-12.04,standard,,,,3.96,20230125,,
MetA,3,84,17.527,17.257,559,0.198,639,0.073,786,-31.798,standard,,,,3.96,20230125,,
MetA,4,53.1,195.643,192.577,3933,2.247,4588,0.82,5582,-11.952,standard,,,,3.96,20230125,,
MetA,1,23.2,77.393,76.178,3937,0.89,4600,0.325,5591,-12.053,standard,,,,11.88,20230125,,
MetA,2,23.2,77.377,76.162,3936,0.89,4599,0.325,5590,-12.04,standard,,,,11.88,20230125,,
MetA,3,92,43.841,43.164,1404,0.494,1609,0.183,1974,-32.72,standard,,,,11.88,20230125,,
MetA,4,53.1,195.65,192.579,3936,2.251,4599,0.821,5591,-11.926,standard,,,,11.88,20230125,,
MetA,1,23.2,77.287,76.075,3934,0.888,4590,0.324,5585,-12.02,standard,,,,19.8,20230125,,
MetA,2,23.2,77.297,76.085,3937,0.888,4593,0.324,5588,-12.04,standard,,,,19.8,20230125,,
MetA,3,96.1,70.497,69.41,2267,0.794,2595,0.294,3180,-33.02,standard,,,,19.8,20230125,,
MetA,4,53.1,195.646,192.579,3935,2.247,4592,0.82,5587,-11.902,standard,,,,19.8,20230125,,
MetA,1,23.2,77.33,76.118,3938,0.888,4595,0.324,5589,-12.024,standard,,,,27.72,20230125,,
MetA,2,23.2,77.361,76.148,3940,0.889,4598,0.324,5592,-12.04,standard,,,,27.72,20230125,,
MetA,3,100.1,98.075,96.563,3123,1.104,3578,0.408,4379,-33.115,standard,,,,27.72,20230125,,
MetA,4,53.1,195.737,192.668,3943,2.248,4601,0.821,5598,-11.994,standard,,,,27.72,20230125,,
MetA,1,23.2,77.467,76.251,3939,0.891,4602,0.325,5594,-11.985,standard,,,,35.64,20230125,,
MetA,2,23.2,77.362,76.148,3940,0.89,4604,0.325,5595,-12.04,standard,,,,35.64,20230125,,
MetA,3,103,125.599,123.661,3973,1.416,4563,0.522,5571,-33.05,standard,,,,35.64,20230125,,
MetA,4,53.1,195.759,192.686,3943,2.252,4607,0.821,5600,-11.99,standard,,,,35.64,20230125,,
MetA,1,23.2,77.413,76.199,3937,0.889,4593,0.325,5588,-12.019,standard,,,,43.56,20230125,,
MetA,2,23.2,77.358,76.145,3936,0.889,4593,0.324,5587,-12.04,standard,,,,43.56,20230125,,
MetA,3,104.7,151.297,148.965,4805,1.703,5514,0.629,6730,-33.04,standard,,,,43.56,20230125,,
MetA,4,53.1,195.74,192.671,3938,2.248,4595,0.821,5590,-11.947,standard,,,,43.56,20230125,,
DOR_CR02_6.5,1,23.2,77.874,76.653,3968,0.895,4631,0.327,5634,-12.044,sample,CR02,6.5,1.244,,20230125,40,20
DOR_CR02_6.5,2,23.2,77.873,76.651,3965,0.895,4628,0.327,5630,-12.04,sample,CR02,6.5,1.244,,20230125,40,20
DOR_CR02_6.5,3,95.9,70.239,69.146,2258,0.8,2616,0.293,3173,-20.844,sample,CR02,6.5,1.244,,20230125,40,20
DOR_CR02_6.5,4,23.2,77.723,76.504,3974,0.893,4638,0.326,5643,-11.879,sample,CR02,6.5,1.244,,20230125,40,20
DOR_CR02_60.5,1,23.2,77.959,76.735,3975,0.897,4645,0.327,5647,-12.013,sample,CR02,60.5,1.254,,20230125,40,40
DOR_CR02_60.5,2,23.2,78.028,76.803,3971,0.898,4640,0.327,5642,-12.04,sample,CR02,60.5,1.254,,20230125,40,40
DOR_CR02_60.5,3,97.8,83.59,82.29,2679,0.951,3099,0.349,3768,-20.883,sample,CR02,60.5,1.254,,20230125,40,40
DOR_CR02_60.5,4,23.2,77.954,76.73,3975,0.897,4645,0.327,5648,-11.946,sample,CR02,60.5,1.254,,20230125,40,40
DOR_CR02_126.5,1,23.2,78.088,76.864,3977,0.897,4642,0.328,5647,-11.972,sample,CR02,126.5,1.1,,20230125,50,50
DOR_CR02_126.5,2,23.2,78.04,76.816,3974,0.897,4638,0.327,5641,-12.04,sample,CR02,126.5,1.1,,20230125,50,50
DOR_CR02_126.5,3,92,74.812,74.114,1433,0.51,1658,0.187,2017,-23.199,sample,CR02,126.5,1.1,,20230125,50,50
DOR_CR02_126.5,4,23.2,78.074,76.849,3981,0.897,4647,0.328,5653,-11.965,sample,CR02,126.5,1.1,,20230125,50,50
MetA,1,23.2,78.327,77.099,3986,0.9,4653,0.329,5662,-12.037,standard,,,,3.96,20230125,,
MetA,2,23.2,78.017,76.794,3983,0.896,4648,0.327,5655,-12.04,standard,,,,3.96,20230125,,
MetA,3,83.4,17.729,17.455,569,0.2,651,0.074,802,-32.217,standard,,,,3.96,20230125,,
MetA,4,23.2,78.263,77.036,3989,0.899,4655,0.328,5664,-12.025,standard,,,,3.96,20230125,,
MetA,1,23.2,78.642,77.408,3995,0.905,4668,0.33,5679,-12,standard,,,,11.88,20230125,,
MetA,2,23.2,78.375,77.144,3995,0.901,4668,0.329,5675,-12.04,standard,,,,11.88,20230125,,
MetA,3,92.4,44.865,44.172,1433,0.506,1642,0.187,2018,-32.865,standard,,,,11.88,20230125,,
MetA,4,23.2,78.369,77.138,3998,0.901,4670,0.329,5680,-12.092,standard,,,,11.88,20230125,,
MetA,1,23.2,78.535,77.304,3998,0.902,4665,0.329,5678,-11.98,standard,,,,19.8,20230125,,
MetA,2,23.2,78.455,77.225,3999,0.901,4665,0.329,5677,-12.04,standard,,,,19.8,20230125,,
MetA,3,96.3,72.569,71.449,2318,0.817,2652,0.303,3259,-33.078,standard,,,,19.8,20230125,,
MetA,4,23,78.177,76.951,4000,0.898,4666,0.328,5681,-12.044,standard,,,,19.8,20230125,,
MetA,1,23.2,78.554,77.321,4000,0.903,4673,0.33,5684,-12.019,standard,,,,27.72,20230125,,
MetA,2,23.2,78.413,77.182,3999,0.902,4671,0.329,5681,-12.04,standard,,,,27.72,20230125,,
MetA,3,99.3,101.855,100.282,3257,1.148,3736,0.425,4580,-33.064,standard,,,,27.72,20230125,,
MetA,4,23.2,78.403,77.172,3996,0.902,4668,0.329,5677,-11.992,standard,,,,27.72,20230125,,
MetA,1,23.2,78.513,77.28,4002,0.903,4675,0.329,5687,-12.008,standard,,,,35.64,20230125,,
MetA,2,23.2,78.512,77.28,4005,0.903,4678,0.329,5689,-12.04,standard,,,,35.64,20230125,,
MetA,3,101.8,126.811,124.852,4060,1.429,4660,0.529,5708,-33.05,standard,,,,35.64,20230125,,
MetA,4,23.2,78.446,77.215,4003,0.902,4677,0.329,5689,-11.946,standard,,,,35.64,20230125,,
MetA,1,23.2,78.559,77.327,4000,0.902,4665,0.329,5677,-12.017,standard,,,,43.56,20230125,,
MetA,2,23.2,78.51,77.28,4002,0.901,4668,0.329,5682,-12.04,standard,,,,43.56,20230125,,
MetA,3,103.2,154.065,151.689,4943,1.734,5669,0.642,6946,-33.064,standard,,,,43.56,20230125,,
MetA,4,23.2,78.466,77.236,4003,0.901,4669,0.329,5684,-11.941,standard,,,,43.56,20230125,,
