Identifier,Peak_Nr,Width,Area_All,Area_44,Ampl_44,Area_45,Ampl_45,Area_46,Ampl_46,d13C,Type,Core,Real_depth_cm,Weigh_EA_mg,Amount_ug,Date,Weigh_sample_before_decarb_mg,Weigh_sample_after_decarb_mg
CR02_72.5,1,23.2,78.229,77.002,3988,0.898,4653,0.328,5663,-12,sample,CR02,72.5,0.8,,20230126,40,40
CR02_72.5,2,23.2,78.046,76.822,3979,0.896,4642,0.327,5649,-12.04,sample,CR02,72.5,0.8,,20230126,40,40
CR02_72.5,3,95.3,69.026,67.953,2231,0.785,2582,0.288,3135,-21.695,sample,CR02,72.5,0.8,,20230126,40,40
CR02_72.5,4,23,77.877,76.656,3985,0.894,4649,0.327,5658,-11.901,sample,CR02,72.5,0.8,,20230126,40,40
CR02_81.5,1,23.2,77.996,76.772,3985,0.897,4656,0.327,5661,-12.038,sample,CR02,81.5,1.346,,20230126,40,40
CR02_81.5,2,23.2,78.384,77.153,3986,0.902,4658,0.329,5663,-12.04,sample,CR02,81.5,1.346,,20230126,40,40
CR02_81.5,3,101.4,122.986,121.07,3955,1.403,4595,0.513,5560,-20.569,sample,CR02,81.5,1.346,,20230126,40,40
CR02_81.5,4,23.2,77.932,76.708,3987,0.896,4659,0.327,5663,-11.964,sample,CR02,81.5,1.346,,20230126,40,40
MetA,1,23.2,78.032,76.809,3978,0.896,4642,0.327,5649,-11.996,standard,,,,,20230126,,
MetA,2,23.2,78.225,76.999,3986,0.899,4650,0.328,5657,-12.04,standard,,,,,20230126,,
MetA,3,95.5,73.11,71.982,2373,0.823,2717,0.305,3334,-33.16,standard,,,,,20230126,,
MetA,4,23.2,77.991,76.768,3981,0.896,4645,0.327,5651,-11.978,standard,,,,,20230126,,
MetA,1,23.2,78.159,76.936,3983,0.896,4636,0.328,5652,-12.02,standard,,,,,20230126,,
MetA,2,23.2,78.134,76.911,3983,0.895,4637,0.327,5651,-12.04,standard,,,,,20230126,,
MetA,3,94.9,70.703,69.615,2295,0.794,2620,0.295,3221,-33.307,standard,,,,,20230126,,
MetA,4,23.2,78.088,76.866,3985,0.895,4639,0.327,5653,-11.868,standard,,,,,20230126,,
GluTIS,1,23.2,77.968,76.746,3975,0.896,4638,0.327,5645,-12.052,standard,,,,,20230126,,
GluTIS,2,23.2,77.957,76.734,3977,0.896,4641,0.327,5647,-12.04,standard,,,,,20230126,,
GluTIS,3,90.9,45.612,44.898,1478,0.524,1726,0.19,2076,-11.646,standard,,,,,20230126,,
GluTIS,4,23.2,77.891,76.669,3984,0.895,4650,0.327,5656,-11.888,standard,,,,,20230126,,
GluTIS,1,23.2,78.121,76.894,3983,0.899,4655,0.328,5659,-11.988,standard,,,,,20230126,,
GluTIS,2,23.2,78.307,77.077,3982,0.901,4653,0.329,5658,-12.04,standard,,,,,20230126,,
GluTIS,3,89.9,38.727,38.119,1251,0.446,1462,0.162,1757,-11.584,standard,,,,,20230126,,
GluTIS,4,23.2,78.066,76.84,3987,0.898,4659,0.328,5665,-11.848,standard,,,,,20230126,,
CR02_87.5,1,23.2,78.136,76.909,3984,0.899,4656,0.328,5662,-12.028,sample,CR02,87.5,0.7,,20230126,70,70
CR02_87.5,2,23.2,78.265,77.036,3984,0.9,4655,0.328,5661,-12.04,sample,CR02,87.5,0.7,,20230126,70,70
CR02_87.5,3,94.9,57.761,56.861,1842,0.659,2136,0.241,2589,-20.884,sample,CR02,87.5,0.7,,20230126,70,70
CR02_87.5,4,23,77.799,76.577,3978,0.895,4649,0.327,5654,-11.918,sample,CR02,87.5,0.7,,20230126,70,70
CR02_93.5,1,23.2,78.15,76.923,3979,0.899,4651,0.328,5653,-12.026,sample,CR02,93.5,1,,20230126,50,50
CR02_93.5,2,23.4,78.062,76.837,3978,0.898,4650,0.328,5653,-12.04,sample,CR02,93.5,1,,20230126,50,50
